lambda0,mu,K
40.667245,3.135289,290.574172
5.397217,0.138617,1148.710563
20.910965,8.042268,19.964369
8.324899,0.184042,7031608.55
4.604671,0.162396,473.250073
14.808985,4.474778,129.135434
6.456582,2.283712,145.357895
5.943027,0.204933,20570.99239
3.958962,0.196744, Inf
5.101534,0.132541,7878.868614
43.020661,3.421591,53.443061
26.576358,3.388309,343.324157
15.2953,7.281075,32.300181
3.471796,0.1598,45619.97871
19.59793,1.778178,294.514247
3.66666,0.134589, Inf
30.47006,4.16084,23.514086
4.575723,0.097163,3694094.523
3.866257,0.187193,188368.3147
4.39483,0.171218,838603.192
16.948205,3.365166,42.694489
2.74026,0.19427,1.316354
56.943276,7.723258,27.561387
35.762567,0.624661,87.444579
3.496624,0.231308,1924680.594
13.792917,6.082931,98.90762
6.688883,0.608703,5.453936
27.281282,15.565981,326.638945
8.427457,0.221455,266262.6776
26.915454,17.467813,278.909585
31.389165,11.475193,89.08199
7.247529,0.216063,2811741.713
20.318136,8.536823,48.835069
18692596.42,5.566555,9.263398
4.422361,0.177967,98452.38302
16.843872,3.360066,27.485613
20.197409,4.418283,96.915985
9.122208,0.74741,245.361783
8.766794,2.058614,323.8312
6.702466,0.18432,40786.27711
8.823117,2.437076,34.408775
6.358573,0.169192, Inf
36.016177,13.688874,249.623459
9.418464,0.190298,7823.708286
5.707229,0.101461,5597.164575
4.037533,0.177227,3744497.578
9.182894,0.213883,1554765.859
7.835038,0.178975, Inf
14.540838,2.263779,190.468118
24.175729,17.893795,199.883878
28.387861,3.355633,101.231465
23.956023,15.434204,155.641758
19.874536,4.005483,47.053644
4.116991,0.184519,178653.3152
2.744344,0.099582,549.922465
8.155228,0.193188,2589689.357
12.62475,5.325875,75.246736
5.844835,0.207611,38547.471
35.252802,21.649333,322.546593
8.269174,0.220847, Inf
4.305699,0.178941,2032.072886
2.947308,0.16896,810733.5778
4.700549,0.237366,32676.61557
3.36828,0.137436,8977.293056
5.068611,0.191726,989113.3252
29.210963,16.240157,91.844962
6.422612,1.484077,108.916013
8.013938,0.15843,16518.37894
12.691681,0.89366,255.748491
14.804954,7.068675,23.692769
8.43238,2.921658,33.357479
6.814434,0.000244,199.378149
32.411903,1.319057,169.495323
16.382293,4.261774,320.301008
3.426985,0.179077,419289.5128
11.126792,11.124811,980.629062
5.52749,0.132805,5039.727853
5.198112,0.195402,2683514.763
6.781046,0.101128,11847.40693
5.175032,0.126804,7498.773469
8.485231,0.183101,6595454.861
11.250471,9.226365,17760.70713
7.645253,0.163074,97143.24583
19.748518,9.181296,38.297307
10.151399,2.358154,14.583147
9.72309,0.205952,6331170.028
4.811945,0.229874,10161.08576
5.513117,0.154729,3671884.964
41.548329,2.451277,207.41745
13.053064,2.670029,308.737684
6.733056,0.229809,8680363.947
8.282586,0.193131, Inf
47.841881,35.051406,97.191144
27.684227,1.528987,205.445918
39.668377,2.992453,41.60957
9.827737,0.185504,75406.77601
3.453122,0.177366,55675.55352
3.490294,0.075661,1338.3867
2.836183,0.000352,370.027355
5.853159,0.208107,2766.050284